,i,j,origin_x,origin_y,dest_x,dest_y
2714,24,36,-46.436299999999996,-23.496400000000005,-46.37630000000001,-23.4814
2715,23,33,-46.39130000000001,-23.4814,-46.39130000000001,-23.4814
2716,24,37,-46.39130000000001,-23.4814,-46.39130000000001,-23.4814
2717,24,36,-46.39130000000001,-23.4814,-46.39130000000001,-23.4814
2718,24,36,-46.39130000000001,-23.4814,-46.39130000000001,-23.4814
2719,24,36,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2720,23,36,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2721,23,35,-46.37630000000001,-23.4814,-46.39130000000001,-23.4814
2722,24,35,-46.39130000000001,-23.4814,-46.37630000000001,-23.4814
2723,24,36,-46.39130000000001,-23.496400000000005,-46.4363,-23.4814
2724,23,37,-46.4363,-23.4814,-46.39130000000001,-23.496400000000005
2725,24,33,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2726,23,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2727,23,35,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2728,23,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2729,23,35,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.4814
2730,23,36,-46.39130000000001,-23.4814,-46.39130000000001,-23.496400000000005
2731,24,36,-46.40630000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2732,23,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2733,23,35,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2734,23,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2735,23,35,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2736,23,36,-46.39130000000001,-23.4814,-46.39130000000001,-23.4814
2737,24,35,-46.39130000000001,-23.4814,-46.39130000000001,-23.4814
2738,24,36,-46.39130000000001,-23.496400000000005,-46.37630000000001,-23.4814
2739,23,36,-46.37630000000001,-23.4814,-46.39130000000001,-23.496400000000005
2740,24,37,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2741,23,36,-46.39130000000001,-23.496400000000005,-46.37630000000001,-23.4814
2742,23,36,-46.37630000000001,-23.4814,-46.39130000000001,-23.496400000000005
2743,24,37,-46.39130000000001,-23.496400000000005,-46.37630000000001,-23.4814
2744,23,36,-46.37630000000001,-23.4814,-46.39130000000001,-23.496400000000005
2745,24,37,-46.39130000000001,-23.496400000000005,-46.37630000000001,-23.4814
2746,23,36,-46.37630000000001,-23.4814,-46.39130000000001,-23.496400000000005
2747,24,37,-46.39130000000001,-23.4814,-46.4363,-23.4814
2748,24,36,-46.4363,-23.4814,-46.39130000000001,-23.4814
2749,24,33,-46.39130000000001,-23.4814,-46.4363,-23.4814
2750,24,36,-46.4363,-23.4814,-46.39130000000001,-23.4814
2751,24,33,-46.39130000000001,-23.4814,-46.436299999999996,-23.496400000000005
2752,24,36,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2753,23,33,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2754,23,35,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2755,23,36,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2756,23,36,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2757,23,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2758,23,35,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2759,23,36,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2760,23,36,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2761,23,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2762,23,35,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2763,23,36,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2764,23,36,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
